DS Model (2026),0,0.00,701,14.90,0,0.00
R4,282,15.21,384,14.73,159,4.64
R3,19,1.15,966,10.20,794,8.15
R0,4364,0.00,17597,8.61,12222,8.29
Adhoc Investigation,3,0.82,175,7.85,28,0.15
R2,159,7.85,257,5.86,223,5.00
R5,20,1.80,40,1.95,13,0.33
Manual (no RC),4,0.14,72,0.24,18,0.11
Other (RC=102),0,0.00,2,0.14,0,0.00
Other (RC=5),19,0.43,1,0.11,0,0.00
R1,3,0.15,9,0.07,7,0.07
Other (RC=79),3,0.13,3,0.07,2,0.04
Other (RC=1),0,0.00,1,0.03,0,0.00
Rules-Other,0,0.00,2,0.02,1,0.02
Other (RC=10),26,2.41,0,0.00,0,0.00
A1 DS Model (deprecated),0,0.00,2,0.00,1,0.00
